index,n
0,5
1,7
2,10
3,3
4,2
5,7
6,1
7,6
8,1
9,10
10,6
11,3
12,1
13,5
14,10
15,6
16,0
17,9
18,2
19,3
20,8
21,0
22,4
23,1
24,7
25,2
26,3
27,0
28,5
29,8
30,5
31,8
32,6
33,8
34,3
35,0
36,5
37,5
38,2
39,1
40,1
41,7
42,6
43,8
44,2
45,1
46,2
47,6
48,10
49,10
50,9
51,9
52,1
53,3
54,10
55,8
56,7
57,10
58,0
59,2
60,10
61,3
62,0
63,9
64,4
65,2
66,9
67,9
68,10
69,2
70,2
71,9
72,4
73,10
74,4
75,3
76,0
77,9
78,10
79,4
80,4
81,8
82,2
83,8
84,4
85,2
86,3
87,1
88,10
89,2
90,10
91,6
92,3
93,9
94,6
95,9
96,1
97,0
98,6
99,7
