index,n
0,135
1,232
2,203
3,523
4,424
5,372
6,832
7,475
8,654
9,4
10,156
11,57
12,909
13,938
14,528
15,536
16,91
17,519
18,73
19,468
20,607
21,759
22,129
23,518
24,199
25,149
26,269
27,235
28,125
29,662
30,707
31,23
32,19
33,826
34,520
35,865
36,392
37,673
38,142
39,343
40,878
41,632
42,350
43,293
44,527
45,229
46,410
47,794
48,520
49,346
50,214
51,345
52,569
53,414
54,381
55,908
56,247
57,316
58,837
59,325
60,351
61,371
62,839
63,780
64,731
65,682
66,854
67,841
68,92
69,642
70,277
71,198
72,66
73,606
74,969
75,917
76,793
77,947
78,740
79,735
80,824
81,970
82,453
83,851
84,474
85,142
86,174
87,676
88,758
89,588
90,742
91,654
92,386
93,686
94,944
95,815
96,841
97,980
98,656
99,48
